,Date,Breed,Age,Sex,Altered,Borough,Zipcode
351,July 02 2015,Golden Retriever,NA,U,FALSE,Brooklyn,NA
352,July 05 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11213
353,April 19 2015,NA,NA,U,FALSE,Brooklyn,NA
354,June 13 2015,Husky/Lab X,8,F,TRUE,Brooklyn,NA
355,April 18 2015,NA,NA,U,FALSE,Brooklyn,11221
356,January 11 2015,NA,NA,U,FALSE,Brooklyn,11207
357,June 22 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11236
358,July 03 2015,NA,NA,U,FALSE,Brooklyn,11234
359,July 03 2015,NA,NA,U,FALSE,Brooklyn,11226
360,July 04 2015,American Pitbull Terrier,2,M,FALSE,Brooklyn,NA
361,July 02 2015,Chihuahua,3,M,FALSE,Brooklyn,11212
362,July 03 2015,Chow Chow/Shepard X,12,M,FALSE,Brooklyn,11207
363,July 04 2015,Yorkshire Terrier,NA,U,FALSE,Brooklyn,11210
364,July 04 2015,Maltipoo,6,M,TRUE,Brooklyn,11212
365,June 29 2015,Border Collie/Pointer X,6,M,TRUE,Brooklyn,11231
366,July 08 2015,Eng Setter,6,M,FALSE,Brooklyn,11235
367,July 07 2015,Mixed,NA,U,FALSE,Brooklyn,11216
368,July 05 2015,Wire Fox Terrier,8,M,TRUE,Brooklyn,11205
369,July 12 2015,American Pitbull Terrier Mix,3,F,FALSE,Brooklyn,11216
370,July 14 2015,American Pitbull Terrier Mix,2,M,FALSE,Brooklyn,11221
371,July 13 2015,Chihuahua,NA,U,FALSE,Brooklyn,11207
372,July 06 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11236
